Unnamed: 0
"Пахота зяби под мн тр
Выравнивание зяби под сахарную свёклу 130 га день, 874 га от начала, 92 %, 78 га остаток.
Работал 1 агрегат."
"14.11.24.
СП Коломейцево 

Пахота под сах.св.
день 29га
от начала 315га(100%)

Выравнивание под сахарную свёклу 
День 20га
От начала 125га(39%)
 
Выравнивание под подсолнечник
день 14га
от начала 14га"
"ТСК
Вспашка под кукурузу 70 га/ с нарастающим 1377 га (100%)
Выравнивание зяби под сою 155 га/ с нарастающим 334 га (5%) Остаток 5763 га
Осадки 2 мм"
"Полевые работы АОР, 14.11.2024.
Пахота под кукурузу на зерно:
День - 26 га 
От начала - 3931 га (96%)
Остаток - 166 га 

Пахота под сою:
День - 295 га 
