,initial,postproc_data
10,"16.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 60/444
Отд 11-60/119","16.10
внесение противозлакового гербецида на озимая рапсе пу юг день 60 от начала 444
отделение 11 день 60 от начала 119"
11,"Пахота зяби под сою 
По ПУ 7/1402
Отд 17 7/141

Вырав-ие зяби под кук/силос
По ПУ 16/16
Отд 12 16/16

Вырав-ие зяби под сах/свёклу
По ПУ 67/912
Отд 12 67/376

2-ое диск-ие сах/свёкла 
По ПУ 59/1041
Отд 17 59/349","пахота зяби под сою 
по пу день 7 от начала 1402
отделение 17 день 7 от начала 141

выравнивание зяби под кукурузный силос
по пу день 16 от начала 16
отделение 12 день 16 от начала 16

выравнивание зяби под сахарная свекла
по пу день 67 от начала 912
отделение 12 день 67 от начала 376

2 ое дискование сахарная свекла 
по пу день 59 от начала 1041
отделение 17 день 59 от начала 349"
12,"Пахота зяби под сою
По Пу 5/1427
Отд 17 5/166

Пахота зяби под кук с
По Пу 26/445
Отд 11 26/180

2-е диск сах св под пш
По Пу 41/1142
Отд 17 41/450

Выравн зяби под сах св
По Пу 35/1269
Отд 11 35/400","пахота зяби под сою
по пу день 5 от начала 1427
отделение 17 день 5 от начала 166

пахота зяби под кукурузный силос
по пу день 26 от начала 445
отделение 11 день 26 от начала 180

второе дискование сахарная свекла под пшеница
по пу день 41 от начала 1142
отделение 17 день 41 от начала 450

выравнивание зяби под сахарная свекла
по пу день 35 от начала 1269
отделение 11 день 35 от начала 400"
13,"Пахота зяби под сою
По Пу 13/1440
Отд 17 13/179

Пахота зяби под кук с
По Пу 26/471
Отд 11 26/206

Дисков сах св
По Пу 85/1237
Отд 17 85/535

Выравн зяби под сах св
По Пу 45/1314
Отд 11 10/410
Отд 12 35/661

Выравн зяби под подс
Отд 11 41/41","пахота зяби под сою
по пу день 13 от начала 1440
отделение 17 день 13 от начала 179

пахота зяби под кукурузный силос
по пу день 26 от начала 471
отделение 11 день 26 от начала 206

дискование сахарная свекла
по пу день 85 от начала 1237
отделение 17 день 85 от начала 535

выравнивание зяби под сахарная свекла
по пу день 45 от начала 1314
отделение 11 день 10 от начала 410
отделение 12 день 35 от начала 661

выравнивание зяби под подсолнухи
отделение 11 день 41 от начала 41"
14,"15.11 Мир
Пахота зяби под кукурузу 7 га день, 569 га от начала, 84%, 103 га остаток.
Пахота зяби под сою 50 га день, 849 га от начала, 75%, 290 га остаток.
Работало 4 агрегата.
Выравнивание зяби под сахарную свёклу 43 га день, 917 га от начала, 96 %, 35 га остаток.
Работал 1 агрегат.","15.11 мир
пахота зяби под кукурузу 7 день, 569 от начала, 84 , 103 остаток.
пахота зяби под сою 50 день, 849 от начала, 75 , 290 остаток.
работало 4 агрегата.
выравнивание зяби под сахарную свёклу 43 день, 917 от начала, 96 , 35 остаток.
работал 1 агрегат."
15,"ТСК 
Выравнивание зяби под сою 199 га/ с нарастающим 533 га (8%) Остаток 5564 га
Осадки 2 мм","тск 
выравнивание зяби под сою 199 с нарастающим 533 8 остаток 5564 
осадки 2 мм"
16,"Пахота зяби под сою
По Пу 11/1451
Отд 17 11/190

Дисков сах св
По Пу 118/1355
Отд 17 118/653

2-е диск сах св под пш
По Пу 35/1177
Отд 17 35/485

Выравн зяби под сах св
По Пу 51/1365
Отд 11 51/461

Выравн зяби под подс
Отд 11 47/89","пахота зяби под сою
по пу день 11 от начала 1451
отделение 17 день 11 от начала 190

дискование сахарная свекла
по пу день 118 от начала 1355
отделение 17 день 118 от начала 653

второе дискование сахарная свекла под пшеница
по пу день 35 от начала 1177
отделение 17 день 35 от начала 485

выравнивание зяби под сахарная свекла
по пу день 51 от начала 1365
отделение 11 день 51 от начала 461

выравнивание зяби под подсолнухи
отделение 11 день 47 от начала 89"
17,"23.10
Внесение мин удобрений под оз пшеницу ПУ Юг 216/7698
Отд 17-216/1877","23.10
внесение минеральные удобрений под озимая пшеницу пу юг день 216 от начала 7698
отделение 17 день 216 от начала 1877"
18,"23.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 134/578
Отд 11-134/253","23.10
внесение противозлакового гербецида на озимая рапсе пу юг день 134 от начала 578
отделение 11 день 134 от начала 253"
19,"Пахота зяби под сою
По Пу 13/1464
Отд 17 13/203

Дисков сах св
По Пу 36/1391
Отд 16 25/25
Отд 17 11/664

2-е диск сах св под пш
По Пу 111/1288
Отд 17 111/596

Выравн зяби под сах св
По Пу 30/1395
Отд 11 30/491","пахота зяби под сою
по пу день 13 от начала 1464
отделение 17 день 13 от начала 203

дискование сахарная свекла
по пу день 36 от начала 1391
отделение 16 день 25 от начала 25
отделение 17 день 11 от начала 664

второе дискование сахарная свекла под пшеница
по пу день 111 от начала 1288
отделение 17 день 111 от начала 596

выравнивание зяби под сахарная свекла
по пу день 30 от начала 1395
отделение 11 день 30 от начала 491"
20,"ТСК 
Выравнивание зяби под сою 187 га/ с нарастающим 740 га (13%) Остаток 5357 га
Осадки 1 мм","тск 
выравнивание зяби под сою 187 с нарастающим 740 13 остаток 5357 
осадки 1 мм"
21,"19.11 Мир
Пахота зяби под кукурузу 8 га день, 672 га от начала, 100%
Пахота зяби под сою 70 га день, 1009 га от начала, 89%, 130 га остаток.
Работало 3 агрегата.
Выравнивание зяби под подсолнечник 15 га день, 15 га от начала, 2%, остаток 691га. Работал 1 агрегат","19.11 мир
пахота зяби под кукурузу 8 день, 672 от начала, 100 
пахота зяби под сою 70 день, 1009 от начала, 89 , 130 остаток.
работало 3 агрегата.
выравнивание зяби под подсолнечник 15 день, 15 от начала, 2 , остаток 691га. работал 1 агрегат"
22,"24.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 108/686
Отд 11-108/361","24.10
внесение противозлакового гербецида на озимая рапсе пу юг день 108 от начала 686
отделение 11 день 108 от начала 361"
23,"24.10
Внесение мин удобрений под оз пшеницу ПУ Юг 123/7821
Отд 16-123/1123","24.10
внесение минеральные удобрений под озимая пшеницу пу юг день 123 от начала 7821
отделение 16 день 123 от начала 1123"
24,"17.07
Внесение мин удобрений под оз рапс ПУ Юг 206/319
Отд 16- 119/119
Отд 17-87/87","17.07
внесение минеральные удобрений под озимая рапс пу юг день 206 от начала 319
отделение 16 день 119 от начала 119
отделение 17 день 87 от начала 87"
25,"17.07
Внесение мин удобрений под сах свёклу ПУ Юг- 83/739
Отд 17-83/83

Внесение минеральных удобрений под оз ячмень ПУ Юг 80/320
Отд 12-80/219","17.07
внесение минеральные удобрений под сахарная свёклу пу юг день 83 от начала 739
отделение 17 день 83 от начала 83

внесение минеральных удобрений под озимая ячмень пу юг день 80 от начала 320
отделение 12 день 80 от начала 219"
26,"Диск оз пшеницы 
По Пу 20/8497
Отд 17 20/1793

2-е диск под сах св
По Пу 112/817
Отд 16 112/594

2-е диск под оз ячмень 
По Пу 61/352
Отд 11 32/32
Отд 12 29/219

Диск Кук силос
По Пу 119/338
Отд 12 37/37
Отд 17 82/301

Выравн мн тр под оз пш
Отд 11 44/99

Пахота под мн тр
По Пу 16/340
Отд 11 16/169

Пахота под сах св
Отд 12 22/59

Чизел под оз ячмень
(дракула)
По Пу 91/222
Отд 12 91/91

Прикат под оз ячмень
По Пу 49/141 
Отд 12 40/40
Отд 16 9/101","дискование озимая пшеницы 
по пу день 20 от начала 8497
отделение 17 день 20 от начала 1793

второе дискование под сахарная свекла
по пу день 112 от начала 817
отделение 16 день 112 от начала 594

второе дискование под озимая ячмень 
по пу день 61 от начала 352
отделение 11 день 32 от начала 32
отделение 12 день 29 от начала 219

дискование кукурузы силос
по пу день 119 от начала 338
отделение 12 день 37 от начала 37
отделение 17 день 82 от начала 301

выравнивание многолетние травы под озимая пшеница
отделение 11 день 44 от начала 99

пахота под многолетние травы
по пу день 16 от начала 340
отделение 11 день 16 от начала 169

пахота под сахарная свекла
отделение 12 день 22 от начала 59

чизлование под озимая ячмень
 дракула 
по пу день 91 от начала 222
отделение 12 день 91 от начала 91

прикат под озимая ячмень
по пу день 49 от начала 141 
отделение 12 день 40 от начала 40
отделение 16 день 9 от начала 101"
27,"19.07
Внесение мин удобрений под сах свёклу ПУ Юг- 120/857

Отд 16- 120/551","19.07
внесение минеральные удобрений под сахарная свёклу пу юг день 120 от начала 857

отделение 16 день 120 от начала 551"
28,"19.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 242/562
Отд 11 242/242","19.07

внесение минеральных удобрений под озимая ячмень пу юг день 242 от начала 562
отделение 11 день 242 от начала 242"
29,"Север 
Отд7 пах с св 41/501
Отд20 20/281 по пу 61/793
Отд 3 пах подс.60/231
По пу 231

Диск к. Сил отд 7. 32/352
Пу- 484
Диск под Оз п езубов 20/281
Диск под с. Св отд 10 83/203 пу-1065га","север 
отд7 пахота с свекла день 41 от начала 501
отд20 день 20 от начала 281 по пу день 61 от начала 793
отделение 3 пахота подс.день 60 от начала 231
по пу 231

дискование кукурузный силос отделение 7. день 32 от начала 352
пу 484
дискование под озимая пшеница езубов день 20 от начала 281
дискование под с. свекла отделение 10 день 83 от начала 203 пу 1065га"
30,"Внесение удобрений под рапс отд 7 -138/270
Дисклвание под рапс 40/172
Диск после Кук сил отд 7-32/352 по пу 484га","внесение удобрений под рапс отделение 7 день 138 от начала 270
дисклвание под рапс день 40 от начала 172
дискование после кукурузы силос отделение 7 день 32 от начала 352 по пу 484га"
31,"Диск оз пшеницы 
По Пу 35/8532
Отд 17 35/1828

2-е диск под сах св
По Пу 97/914
Отд 16 97/691

2-е диск под оз ячмень 
По Пу 117/469
Отд 11 117/149

2-е диск под рапс
По ПУ 29/142
Отд 16 29/29

Диск Кук силос
По Пу 142/480
Отд 12 75/112
Отд 17 67/368

Пахота под мн тр
По Пу 21/361
Отд 11 18/187
Отд 17 3/3

Пахота под сах св
Отд 12 22/81

Чизел под оз ячмень
(дракула)
По Пу 64/286
Отд 12 64/155","дискование озимая пшеницы 
по пу день 35 от начала 8532
отделение 17 день 35 от начала 1828

второе дискование под сахарная свекла
по пу день 97 от начала 914
отделение 16 день 97 от начала 691

второе дискование под озимая ячмень 
по пу день 117 от начала 469
отделение 11 день 117 от начала 149

второе дискование под рапс
по пу день 29 от начала 142
отделение 16 день 29 от начала 29

дискование кукурузы силос
по пу день 142 от начала 480
отделение 12 день 75 от начала 112
отделение 17 день 67 от начала 368

пахота под многолетние травы
по пу день 21 от начала 361
отделение 11 день 18 от начала 187
отделение 17 день 3 от начала 3

пахота под сахарная свекла
отделение 12 день 22 от начала 81

чизлование под озимая ячмень
 дракула 
по пу день 64 от начала 286
отделение 12 день 64 от начала 155"
32,"Диск оз пшеницы 
По Пу 95/8627
Отд 17 95/1923

2-е диск под сах св
По Пу 151/1065
Отд 16 151/842

2-е диск под оз ячмень 
По Пу 136/605
Отд 11 70/219
Отд 11 66/285

2-е диск под рапс
По ПУ 60/202
Отд 16 60/89

Пахота под мн тр
По Пу 25/386
Отд 17 25/28

Пахота под сах св
Отд 12 24/105

Чизел под оз ячмень
По Пу 64/350
Отд 12 64/219","дискование озимая пшеницы 
по пу день 95 от начала 8627
отделение 17 день 95 от начала 1923

второе дискование под сахарная свекла
по пу день 151 от начала 1065
отделение 16 день 151 от начала 842

второе дискование под озимая ячмень 
по пу день 136 от начала 605
отделение 11 день 70 от начала 219
отделение 11 день 66 от начала 285

второе дискование под рапс
по пу день 60 от начала 202
отделение 16 день 60 от начала 89

пахота под многолетние травы
по пу день 25 от начала 386
отделение 17 день 25 от начала 28

пахота под сахарная свекла
отделение 12 день 24 от начала 105

чизлование под озимая ячмень
по пу день 64 от начала 350
отделение 12 день 64 от начала 219"
33,"21.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 78/640
Отд 12-78/297","21.07

внесение минеральных удобрений под озимая ячмень пу юг день 78 от начала 640
отделение 12 день 78 от начала 297"
34,"21.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 220/1077

Отд 12-118/234
Отд 16-102/653","21.07
внесение минеральные удобрений под сахарная свёклу 2025 г пу юг день 220 от начала 1077

отделение 12 день 118 от начала 234
отделение 16 день 102 от начала 653"
35,"21.07
Внесение мин удобрений под оз рапс ПУ Юг 103/422

Отд 16-103/222","21.07
внесение минеральные удобрений под озимая рапс пу юг день 103 от начала 422

отделение 16 день 103 от начала 222"
36,"2-е диск под оз ячмень
По Пу 35/640
Отд 11 23/242
Отд 12 12/297

2-е диск под сах св
По Пу 54/1119
Отд 12 54/170

2-е диск под оз рапс
По Пу 60/262
Отд 16 60/149

Диск кук силос
По Пу 30/510
Отд 11 30/30

Пахота под мн тр
По Пу 26/412
Отд 17 26/54

Пахота под сах св
По Пу 13/118
Отд 11 13/13

Чизел под оз ячмень
(дракула)
По Пу 39/389
Отд 12 39/258

Прикат мн тр под оз пш
Отд 11 60/60","второе дискование под озимая ячмень
по пу день 35 от начала 640
отделение 11 день 23 от начала 242
отделение 12 день 12 от начала 297

второе дискование под сахарная свекла
по пу день 54 от начала 1119
отделение 12 день 54 от начала 170

второе дискование под озимая рапс
по пу день 60 от начала 262
отделение 16 день 60 от начала 149

дискование кукурузы силос
по пу день 30 от начала 510
отделение 11 день 30 от начала 30

пахота под многолетние травы
по пу день 26 от начала 412
отделение 17 день 26 от начала 54

пахота под сахарная свекла
по пу день 13 от начала 118
отделение 11 день 13 от начала 13

чизлование под озимая ячмень
 дракула 
по пу день 39 от начала 389
отделение 12 день 39 от начала 258

прикат многолетние травы под озимая пшеница
отделение 11 день 60 от начала 60"
37,"Диск оз пшеницы 
По Пу 19/8646
Отд 17 19/1942

2-е диск под сах св
По Пу 60/1179
Отд 12 60/230

2-е диск под оз рапс
По Пу 102/364
Отд 16 102/251

2-е диск под оз ячмень
По Пу 4/644
Отд 17 4/4

Диск кук силос
По Пу 70/580
Отд 11 70/100

Чизел под оз ячмень
По Пу 67/456
Отд 11 28/28
Отд 12 39/297

Пахота под мн тр
По Пу 2/414
Отд 17 2/56

Пахота под сах св
По Пу 19/137
Отд 11 8/21
Отд 12 11/116

Прикат под оз ячмень
По Пу 179/320
Отд 12 179/219

Прикат мн тр под оз пш
Отд 11 39/99","дискование озимая пшеницы 
по пу день 19 от начала 8646
отделение 17 день 19 от начала 1942

второе дискование под сахарная свекла
по пу день 60 от начала 1179
отделение 12 день 60 от начала 230

второе дискование под озимая рапс
по пу день 102 от начала 364
отделение 16 день 102 от начала 251

второе дискование под озимая ячмень
по пу день 4 от начала 644
отделение 17 день 4 от начала 4

дискование кукурузы силос
по пу день 70 от начала 580
отделение 11 день 70 от начала 100

чизлование под озимая ячмень
по пу день 67 от начала 456
отделение 11 день 28 от начала 28
отделение 12 день 39 от начала 297

пахота под многолетние травы
по пу день 2 от начала 414
отделение 17 день 2 от начала 56

пахота под сахарная свекла
по пу день 19 от начала 137
отделение 11 день 8 от начала 21
отделение 12 день 11 от начала 116

прикат под озимая ячмень
по пу день 179 от начала 320
отделение 12 день 179 от начала 219

прикат многолетние травы под озимая пшеница
отделение 11 день 39 от начала 99"
38,"Пахота под сах св
По Пу 40/183
Отд 11 3/24
Отд 12 24/146
Отд 16 13/13

Пахота под мн тр
По Пу 3/417
Отд 17 3/59

Диск оз пшеницы
По Пу 40/8686
Отд 12 40/2542

2-е диск под сах св
По Пу 4/1183
Отд 12 4/234

2-е диск под оз ячмень
По Пу 35/679
Отд 17 35/39

Выкаш отц форм под/г
Отд 12 2/2","пахота под сахарная свекла
по пу день 40 от начала 183
отделение 11 день 3 от начала 24
отделение 12 день 24 от начала 146
отделение 16 день 13 от начала 13

пахота под многолетние травы
по пу день 3 от начала 417
отделение 17 день 3 от начала 59

дискование озимая пшеницы
по пу день 40 от начала 8686
отделение 12 день 40 от начала 2542

второе дискование под сахарная свекла
по пу день 4 от начала 1183
отделение 12 день 4 от начала 234

второе дискование под озимая ячмень
по пу день 35 от начала 679
отделение 17 день 35 от начала 39

выкашивание отцовские травы формирование подготовка грунта
отделение 12 день 2 от начала 2"
39,"25.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 69/819
Отд 17-110/179","25.07

внесение минеральных удобрений под озимая ячмень пу юг день 69 от начала 819
отделение 17 день 110 от начала 179"
40,"Пахота под сах св
По Пу 58/241
Отд 11 13/37
Отд 12 24/170
Отд 16 21/34

Пахота под мн тр
По Пу 11/428
Отд 17 11/70

Диск оз пшеницы
По Пу 31/8717
Отд 12 31/2573

Диск кук силос
По Пу 26/607
Отд 12 26/138

2-е диск под рапс
По Пу 22/386
Отд 16 22/273

2-е диск под оз ячмень
По Пу 43/722
Отд 17 43/82

Выкаш отц форм под/г
Отд 12 10/12

Чизел под оз ячмень
По Пу 30/457
Отд 11 30/59

Прикат под оз ячмень 
По Пу 78/398
Отд 12 78/297","пахота под сахарная свекла
по пу день 58 от начала 241
отделение 11 день 13 от начала 37
отделение 12 день 24 от начала 170
отделение 16 день 21 от начала 34

пахота под многолетние травы
по пу день 11 от начала 428
отделение 17 день 11 от начала 70

дискование озимая пшеницы
по пу день 31 от начала 8717
отделение 12 день 31 от начала 2573

дискование кукурузы силос
по пу день 26 от начала 607
отделение 12 день 26 от начала 138

второе дискование под рапс
по пу день 22 от начала 386
отделение 16 день 22 от начала 273

второе дискование под озимая ячмень
по пу день 43 от начала 722
отделение 17 день 43 от начала 82

выкашивание отцовские травы формирование подготовка грунта
отделение 12 день 10 от начала 12

чизлование под озимая ячмень
по пу день 30 от начала 457
отделение 11 день 30 от начала 59

прикат под озимая ячмень 
по пу день 78 от начала 398
отделение 12 день 78 от начала 297"
41,"26.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 80/1157

Отд 12-80/314","26.07
внесение минеральные удобрений под сахарная свёклу 2025 г пу юг день 80 от начала 1157

отделение 12 день 80 от начала 314"
42,"ПУ «ЮГ» 3.03

Выравнивание зяби под сах св
По ПУ 130/2657
Отделение 11 31/705
Отделение 17 99/687

Выравнивание зяби под подсолнечник
По ПУ 50/599
Отделение 11 50/50

Выравнивание зяби по кук/силос
По ПУ 167/399
Отделение 11 50/73
Отделение 17 117/156

Выравнивание зяби под сою 
По ПУ 45/399
Отделение 16 45/334

Сев овса 
По ПУ 94/99
Отделение 11 94/99 закончили

Прокатывание посевов овса 
По ПУ 94/99
Отделение 11 94/99 закончили","пу юг 3.03

выравнивание зяби под сахарная свекла
по пу день 130 от начала 2657
отделение 11 день 31 от начала 705
отделение 17 день 99 от начала 687

выравнивание зяби под подсолнечник
по пу день 50 от начала 599
отделение 11 день 50 от начала 50

выравнивание зяби по кукурузный силос
по пу день 167 от начала 399
отделение 11 день 50 от начала 73
отделение 17 день 117 от начала 156

выравнивание зяби под сою 
по пу день 45 от начала 399
отделение 16 день 45 от начала 334

посев овса 
по пу день 94 от начала 99
отделение 11 день 94 от начала 99 закончили

прокатывание посевов овса 
по пу день 94 от начала 99
отделение 11 день 94 от начала 99 закончили"
43,"ПУ «ЮГ» 4.03 

Выравнивание зяби под сах св
По ПУ 92/2749
Отделение 17 92/779 

Выравнивание зяби под подсолнечник
По ПУ 125/724
Отделение 11 83/133
Отделение 17 42/42

Выравнивание зяби по кук/силос
По ПУ 86/485
Отделение 11 33/106
Отделение 17 53/209

Выравнивание зяби под кук/зерно
По ПУ 17/588
Отделение 11 17/108

Выравнивание зяби под сою 
По ПУ 60/459
Отделение 16 60/394","пу юг 4.03 

выравнивание зяби под сахарная свекла
по пу день 92 от начала 2749
отделение 17 день 92 от начала 779 

выравнивание зяби под подсолнечник
по пу день 125 от начала 724
отделение 11 день 83 от начала 133
отделение 17 день 42 от начала 42

выравнивание зяби по кукурузный силос
по пу день 86 от начала 485
отделение 11 день 33 от начала 106
отделение 17 день 53 от начала 209

выравнивание зяби под кукурузное зерно
по пу день 17 от начала 588
отделение 11 день 17 от начала 108

выравнивание зяби под сою 
по пу день 60 от начала 459
отделение 16 день 60 от начала 394"
44,"Вырав зяби под подсол
По Пу 199/923
Отд 11 108/241
Отд 17 91/133
Вырав зяби под сах/ св
По Пу 78/2827
Отд 17 78/857
Вырав зяби под сою
По Пу 121/580
Отд 11 80/80
Отд 16 41/381
Вырав зяби под Кук/сил
По Пу 43/528
Отд 11 43/149","выравнивание зяби под подсол
по пу день 199 от начала 923
отделение 11 день 108 от начала 241
отделение 17 день 91 от начала 133
выравнивание зяби под сах свекла
по пу день 78 от начала 2827
отделение 17 день 78 от начала 857
выравнивание зяби под сою
по пу день 121 от начала 580
отделение 11 день 80 от начала 80
отделение 16 день 41 от начала 381
выравнивание зяби под кукурузный силос
по пу день 43 от начала 528
отделение 11 день 43 от начала 149"
45,"Выравн зяби под сах/св
По Пу 24/2851
Отд 17 24/881
Выравн зяби под подс
По Пу 71/994
Отд 11 37/278
Отд 17 34/167
Вырав под Кук/сил
По Пу 32/560
Отд 17 32/241
Вырав под Кук/зерно
По Пу 74/662
Отд 16 18/18
Отд 17 56/124
Вырав под сою
По Пу 133/713
Отд 11 113/193
Отд 16 20/401
2-е вырав под Кук/зерн
Отд 17 56/56","выравнивание зяби под сахарная свекла
по пу день 24 от начала 2851
отделение 17 день 24 от начала 881
выравнивание зяби под подсолнухи
по пу день 71 от начала 994
отделение 11 день 37 от начала 278
отделение 17 день 34 от начала 167
выравнивание под кукурузный силос
по пу день 32 от начала 560
отделение 17 день 32 от начала 241
выравнивание под кукурузное зерно
по пу день 74 от начала 662
отделение 16 день 18 от начала 18
отделение 17 день 56 от начала 124
выравнивание под сою
по пу день 133 от начала 713
отделение 11 день 113 от начала 193
отделение 16 день 20 от начала 401
второе выравнивание под кукурузное зерно
отделение 17 день 56 от начала 56"
46,"Выравн под кук/силос
ПоПу 153/822
Отд 11 122/352
Отд 17 31/300
Выравн под сою
ПоПу 73/930
Отд 11 28/327
Отд 17 45/83","выравнивание под кукурузный силос
по пу день 153 от начала 822
отделение 11 день 122 от начала 352
отделение 17 день 31 от начала 300
выравнивание под сою
по пу день 73 от начала 930
отделение 11 день 28 от начала 327
отделение 17 день 45 от начала 83"
